"Ctrl_1"	"CD_1"	"Ctrl_2"	"CD_2"	"Ctrl_3"	"CD_3"
"hp170"	7.05702469731185	5.30232726144896	6.57681739984157	5.52206679844284	6.55108839143246	5.57509882372157
"hp174"	4.5	6.05517742399914	4.82308579693692	4.66172818896662	4.5	5.24698154939737
"hp175"	4.55028503798718	6.51953338793482	4.5	4.5	4.5	4.5
"hp176"	6.19610111015291	7.58633012572589	5.76968718496154	6.26477579780569	6.07176688248339	6.35475584253161
"hp177"	5.24744075171335	6.96305307825391	4.5	4.95839493768174	4.73063942384819	4.5
"hp183"	4.89641458823742	10.332793730228	4.5	4.6814570136266	4.5	6.25820966515696
"hp184"	4.5	7.56126300537616	5.1713091836106	4.95188920294388	4.75046275830861	4.83640307305762
"hp185"	4.5	6.08193038092262	4.5	4.88974992043579	4.5	4.5
"hp187"	5.49691619331683	5.63061452351052	4.50470622963667	4.5	4.5	4.5
"hp188"	4.62032878083573	9.21363568338382	4.93993249356727	4.91121393930712	4.79703482679054	5.57593483536794
"hp189"	4.5	5.06829464506203	4.5	4.5	4.5	4.5
"hp190"	4.5	4.99567434684091	4.5	4.5	4.5	4.5
"hp194"	5.71166669340763	5.47686958928337	5.91747249684205	5.43752435156802	6.15494973887042	4.60893779978532
"hp198"	7.99769312603259	6.40728002318781	7.27589333126265	6.66400482089299	7.12298890006257	6.45141167216766
"hp202"	9.2205427287798	8.11758687899856	8.24241583546324	8.169548078857	8.73302060642672	7.92362092680211
"hp203"	5.6554819328441	6.90939554448047	6.81749695814887	4.79986942140762	6.06012907958141	5.08665563630384
"hp207"	7.2566531809317	10.203848301163	6.20610400275697	7.09162520275556	6.4459830544438	6.74467076784745
"hp208"	7.37662793015113	5.48149169101625	6.46854915644064	5.3902721644121	6.79232040864676	6.1524706257783
"hp212"	5.15190008871391	6.14257729599116	5.22824439709102	4.58051398605506	4.96823411108306	4.5
"hp219"	4.79620236717885	6.07049854377291	4.60418398664438	4.98149512295047	4.58227692752917	5.12739887592314
"hp220"	5.79031680627042	8.12670012230851	5.13151024912711	5.19931529942927	5.24949961662123	5.62587193429367
"hp223"	5.8010371811407	5.17628964270312	5.16210150891211	4.6126299564985	5.21696248708783	4.55791972600207
"hp228"	7.62292334816486	7.88074914907551	6.70500796343063	6.58836373162497	6.83672274705726	6.59718195206091
"hp229"	5.93168905704978	4.91442035856893	5.08004920824512	4.50022438189452	5.07095817672833	4.5
"hp230"	4.96228379632098	7.22272696554248	4.58917811263391	4.50505211623841	4.5	4.5
"hp232"	4.719163583379	4.5	4.5	4.5	4.5	4.5
"hp239"	6.40997200316545	4.5	5.523391914048	4.79718255987167	5.61994738565672	4.70261661762951
"hp241"	5.18366523236948	5.58359429074389	5.07127212352311	4.5	5.0053804556901	4.51178441653226
"hp242"	5.17824545963662	4.5	4.5	4.5	4.53495053778724	4.5
"hp245"	4.5	4.88291024554326	4.5	4.5	4.5	4.5
"hp248"	5.67427808117444	4.80560364904621	4.5	4.5	4.53735862098099	4.5
"hp250"	5.40937522161022	6.53128098982211	4.5	4.63109684127267	4.63294787367112	5.12023266068835
"hp251"	4.56032741834001	4.5	4.5	4.5	4.5	4.5
"hp254"	7.23155218624532	9.74778524858039	6.54718126503867	6.74097225900948	6.70439295208933	7.17099358123257
"hp260"	6.89150125345634	9.32229143777507	7.32610244646731	7.50037247936715	7.14782212987743	6.9693086356163
"hp261"	4.5	4.87304987544071	4.5	4.5	4.5	4.5
"hp265"	5.97655112765808	5.63902993316005	5.27398506431017	4.53581650356648	4.72344040218184	4.76208596979778
"hp268"	4.5	4.77389659915332	4.5	4.5	4.5	4.5
"hp272"	8.98720648387362	8.91711347212531	8.46883412808236	8.46481023695098	8.88346126643896	8.25843355045814
"hp273"	6.33768926811493	5.44387102296582	5.61777242034032	4.97568565227346	5.41404831999842	5.10981211531444
"hp275"	9.24769156433637	8.86501954371491	8.4771096281569	8.57517878435338	8.85029487480639	8.25249329813565
"hp277"	6.32338640993814	4.5	5.27587650343316	4.5	5.60115321875973	4.52016455505399
"hp278"	6.06174420800897	5.41884278909437	5.51084135237643	5.01174102426472	5.4888293454218	4.90998932820067
"hp279"	4.5	5.54064839202687	4.5	4.5	4.5	4.75859720934239
"hp281"	6.34775762648481	5.54886171537873	5.72478809055431	5.47708824403204	5.90706145015407	5.02270125743456
"hp283"	4.54992368212559	4.5	4.5	4.5	4.5	4.5
"hp286"	5.87963856232219	4.76203822172721	4.92447648401791	4.5	5.25354273563546	4.58907654185487
"hp288"	5.09312407287328	4.5	4.5	4.5	4.5	4.5
"hp290"	7.45119429228098	7.02013230973	6.38006364819529	6.2270341495123	6.54790138976636	6.28958220714439
"hp293"	5.34394816295509	4.5	4.5	4.5	4.59221792774879	4.5
"hp296"	4.62720833392653	5.2624381437673	4.5	4.50271150939933	4.5	4.52140715563648
"hp298"	6.57499372975207	5.18191217490182	8.35084037058745	6.88767875165154	7.2238495858893	5.74571291597446
"hp299"	8.23809152725888	5.21953980392468	7.04973126507986	6.75165829797182	7.38706227131894	6.35005762162418
"hp302"	7.18345907194745	6.64455655089417	6.84909668625776	6.5247884766236	7.21961529047989	6.39808330941516
"hp304"	4.51633502806471	4.7179662257404	4.5	4.5	4.5	4.5
"hp306"	7.11439282086326	6.27360789490458	5.50844633934677	5.56994174523661	6.04867405701594	5.49129017444101
"hp314"	6.30128946963503	5.87346544406877	5.32701922194024	4.71706452235618	5.26087140158998	5.21093406927612
"hp316"	5.48573567696421	5.38698605423131	4.5	4.5	5.17059426716675	4.5
"hp321"	4.87478812710297	5.15146363416041	4.89794407876679	4.5	4.83467965414236	4.5
"hp322"	4.54379421878075	5.77720371375292	4.99634823837989	5.43081526791075	4.5	5.20667757978054
