"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"f1833",-0.0676144482658039,14.407672265962,-5.30170965134785,0.000109899881907009,0.000400281897463029,0.583362325564896
"f3030",-0.062732007584307,12.3531415963485,-5.30092474713906,0.000110057106882593,0.00040060786905264,0.581885033823199
"f4861",-0.141587555739816,9.45951629139809,-5.29834588432115,0.00011057533075853,0.000402015004860699,0.577030753212202
"f2441",-0.110111071097112,9.84404875184413,-5.29832462511129,0.000110579613340382,0.000402015004860699,0.576990732935008
"f1258",0.0709142620073759,15.7306074490375,5.29579992979729,0.000111089431820605,0.000403620386498081,0.572237626844495
"f1488",-0.0839914515812676,12.6434042277561,-5.29413221787328,0.00011142753766863,0.000404600297918935,0.569097493441059
"f3849",-0.0742120615630384,11.5520182052496,-5.29332045762577,0.00011159249809211,0.000404950690929344,0.567568908971885
"f2321",-0.138783728975614,9.77844202211738,-5.28994186052948,0.000112281807040535,0.000407202261584771,0.561205988370358
"f6167",0.223541888990982,7.75207776980663,5.28711000046595,0.000112862980529123,0.000409059148180002,0.555871676159927
"f2033",0.135125616430672,11.6732556162427,5.2865282557248,0.000112982756991121,0.000409242503124607,0.554775736504209
"f5561",-0.185609463579761,8.27285886761996,-5.28407253257856,0.000113489828933037,0.000410827624320019,0.550148988457306
"f374",0.0689742230069683,15.1602201647818,5.28355735526591,0.000113596505738282,0.000410962282227486,0.54917826728063
"f2126",0.0510936443466381,12.3432309412117,5.28094632956704,0.000114138771795341,0.000412671659639023,0.544257958201851
"f3410",-0.0969703084172906,10.3585764022989,-5.27269411043544,0.000115870386544573,0.00041867644252361,0.528701782438261
"f3964",-0.112580888761673,9.6024759191584,-5.26688627894828,0.000117105442181277,0.000422880763432389,0.517748583321127
"f1143",-0.0697680410048243,14.3518812831675,-5.26521814776107,0.000117462700697823,0.000423912065056513,0.514601845026124
"f1852",-0.0638893923249615,11.8169826489294,-5.26143978326573,0.000118276098092021,0.000426369220948682,0.507473157956608
"f2135",-0.100066368405244,10.7257499830039,-5.26138597183217,0.000118287724695991,0.000426369220948682,0.507371618884094
"f6714",0.231423999171588,9.16706505622589,5.26093659350698,0.000118384864668702,0.000426459485088534,0.506523654330233
"f4520",0.137054427346781,12.3004722744176,5.25802523134183,0.000119016212600405,0.000428472853031889,0.501029407163538
"f1036",-0.0871433344107544,12.3270279349625,-5.25451927558215,0.000119781150884312,0.000430964420608703,0.494411709999585
"f5913",0.219317216849111,8.87412976939047,5.25365386920226,0.000119970752831014,0.000431384196349816,0.492777978116082
"f3056",0.125777203788694,11.3055872591192,5.24859632906162,0.000121085067271147,0.000435126471998075,0.48322845766764
"f3769",0.0911873250479847,10.8679263243797,5.24470243308254,0.000121950327281894,0.000437824745635759,0.47587401690214
"f1136",-0.0907139254422074,13.4915111973576,-5.24455161400498,0.000121983969705449,0.000437824745635759,0.475589126939837
"f2962",-0.129943225874076,10.2116876843799,-5.2435855416978,0.000122199695361062,0.00043833304915748,0.473764198521569
"f2457",0.0665059408497672,12.0761190870974,5.24230627591763,0.000122485968125161,0.000439093637248685,0.471347470367619
"f3754",0.0811240650121601,11.4166325007848,5.24125210782234,0.000122722392667905,0.000439646429096829,0.469355839257973
"f2109",-0.134045188956456,13.2400347542579,-5.24084877806113,0.00012281297525746,0.000439646429096829,0.468593796582044
"f916",0.0664105555250334,12.6064051821907,5.24062549079219,0.000122863152543881,0.000439646429096829,0.468171914015962
"f3910",-0.0974275767139297,9.90815703415993,-5.22626305110007,0.000126135879561149,0.000450989058016135,0.441022808113542
"f466",0.095505215453457,14.4663062321025,5.22604853301279,0.000126185442268251,0.000450989058016135,0.440617121718856
"f6687",-0.206938600355631,8.30648197304323,-5.22401930011364,0.000126655283010872,0.000452394926937987,0.436779262580672
"f2975",-0.0993786506471004,10.3366246126024,-5.22278308953178,0.000126942401306603,0.000453146833873602,0.434440995471049
"f3345",0.107458742439741,10.7215293809395,5.21971105939445,0.000127658834142053,0.000455429435434404,0.428629527586536
"f2164",0.0894178425177703,10.9849488313946,5.21799036448006,0.000128061954820794,0.000456592201787218,0.425373939075636
"f2346",-0.108672196243983,10.4757198352821,-5.21732401064453,0.000128218421910575,0.000456874678072923,0.424113090251722
"f3463",0.0992776640513799,11.4539595292151,5.21676496098936,0.000128349846074989,0.000457067633674628,0.423055237622257
"f552",-0.0555158489642569,14.1482220427759,-5.20824362407201,0.000130370505487708,0.000463984079398189,0.406926294256336
"f338",-0.0747739976753561,14.5310315656603,-5.20778899045564,0.000130479237016858,0.00046409181416399,0.406065535289199
"f3972",0.0922731529410292,11.5794068518361,5.2065945706157,0.00013076534724741,0.000464829945293527,0.403804020789814
"f5240",0.1222080634031,9.05405787031785,5.20551971382857,0.000131023374750909,0.000465467424415392,0.40176874284229
"f111",-0.0460042689236531,15.3617275363169,-5.20489089277379,0.000131174573240504,0.000465724850370696,0.400577985464426
"f2763",-0.0875684920424433,11.0352703532329,-5.20129038825598,0.000132043803764177,0.000468529753608343,0.393759046023031
"f2955",0.158119617698183,9.09930912391616,5.19843407324458,0.000132737628983937,0.000470709277841717,0.388348427316356
"f4589",-0.207188513900627,9.90003504884054,-5.19087960167982,0.000134590997888482,0.000476995657585604,0.374033618984536
"f3591",-0.179895577016872,8.12155289978132,-5.18631404918264,0.000135724098692867,0.000480723379501979,0.365379194412989
"f5243",0.118463171060084,9.89455397808774,5.18123718555204,0.00013699574419604,0.000484937059796277,0.355752657160484
"f1025",-0.0484315316816808,14.1630994800882,-5.18026879702259,0.000137239707077783,0.000485510088137014,0.353916095686141
"f202",0.0571843875867852,14.1356823838152,5.17875708780278,0.000137621449472756,0.000486569559851375,0.351048899614628
"f6616",-0.165838408056089,8.89462265596483,-5.17311102714685,0.000139056994387378,0.000491351327240946,0.340337883353214
"f814",0.0827694584897269,11.7401656655717,5.17214656642966,0.000139303765603079,0.000491929417040128,0.338507853142678
"f2644",-0.0786289468151917,12.8319271653243,-5.16450987504907,0.000141273855666915,0.000498531079300913,0.324013661043226
"f730",-0.0842161144753053,12.2947546781835,-5.16411384845285,0.000141376807315463,0.000498531079300913,0.323261829653848
"f6098",-0.167905681809676,7.99401978978678,-5.16357492322671,0.000141517032285446,0.000498531079300913,0.322238684873797
"f2883",-0.0664136245692752,13.4132369536636,-5.16350397483738,0.000141535503369612,0.000498531079300913,0.322103987459083
"f1194",0.0883455874570149,11.038082580222,5.16327694611087,0.000141594626073632,0.000498531079300913,0.321672963403287
"f1467",-0.0969590466110883,13.4277109446811,-5.16176178884611,0.000141989859954822,0.00049962523595049,0.318796216510511
"f614",-0.0873619027044281,14.6510383029791,-5.15984964576311,0.000142490284977682,0.000501088011678353,0.315165352084955
"f437",0.0920614947414489,12.7707897279357,5.15827055344754,0.000142904928450772,0.000502247564935422,0.31216657836741
"f3028",0.127952627921667,9.84810667140403,5.15663359802141,0.000143336088865057,0.000503315910517053,0.309057613140159
"f1360",0.105889654251213,11.9971190948781,5.15620058683687,0.000143450366199344,0.000503315910517053,0.308235170378819
"f1108",0.0655123862755964,12.0798703254002,5.15614826860437,0.000143464180072993,0.000503315910517053,0.308135797907303
"f2832",0.107827689448428,11.805054700936,5.15210951136877,0.000144534736196442,0.000506771170481301,0.300463681241297
"f5581",-0.173309422932372,7.43151745251591,-5.15148596391301,0.000144700758197205,0.000507052716076105,0.29927900700932
"f3396",0.189497747712903,8.21351894965464,5.14746051443782,0.000145777327174113,0.000510522729564758,0.29162999134269
"f662",-0.0565073767892148,14.4714059543615,-5.14703351633287,0.000145892010755807,0.000510622037645326,0.290818514355737
"f5435",-0.136380999551445,8.34493355646705,-5.14435846485218,0.000146612614003568,0.000512840692981139,0.285734303687613
