"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"f2291",-0.0954591681720771,12.2903268596528,-4.50695188475347,0.000486490662493476,0.00361961291653951,-0.319691937775128
"f650",-0.0940869639534796,15.1144625208674,-4.5061146321644,0.000487272983351093,0.0036208790157308,-0.321310566036005
"f1032",0.0534111614232202,12.3688389401271,4.50085169512199,0.000492220368147936,0.00365305329685701,-0.33148662133871
"f3000",-0.0662889102349169,11.9052247190794,-4.49805313277314,0.000494872164568651,0.00366813139526763,-0.336898726533141
"f5370",0.101621898185229,8.89169689224181,4.49366000041142,0.000499064602718291,0.00369457712775806,-0.345395941458053
"f2257",-0.0784530052088055,11.3025981539234,-4.48531864501866,0.000507125785864358,0.0037495612792346,-0.361534480372754
"f1629",0.0797002399689983,11.1727241758893,4.48317271034388,0.000509221232374263,0.00376035404431182,-0.36568733561098
"f5093",-0.091775297352731,9.31861226200321,-4.47931185241389,0.00051301371864904,0.00378363609203126,-0.373159952067734
"f72",0.0546678887916556,16.4570538859047,4.47864720120169,0.000513669526255634,0.00378375497858291,-0.374446502198823
"f6077",0.169748742128842,7.72830192660394,4.47578772444804,0.000516500809674703,0.0037998784691864,-0.379981962013854
"f13",0.0647797277186974,17.0392615797609,4.47395882369298,0.000518320092946564,0.00380530248863589,-0.38352277281519
"f5898",0.15752412117261,8.60491191564282,4.47366793466298,0.000518610059463289,0.00380530248863589,-0.384085969959523
"f3855",0.0723717727568154,10.8592996941369,4.47310862377147,0.000519168065651591,0.00380530248863589,-0.385168885534226
"f726",0.055437946228901,15.852191418323,4.47218725930617,0.000520088628181483,0.00380733197486816,-0.386952853677001
"f2389",0.103188678805749,10.848910678631,4.4668367768933,0.00052546774775613,0.00384195516437269,-0.39731403028506
"f4444",-0.124766350270885,10.4023940953019,-4.46595712050147,0.000526357575887305,0.00384272607300087,-0.399017714740546
"f1007",0.0729935477076396,11.6889361598606,4.46544877979331,0.000526872501302401,0.00384272607300087,-0.400002279572563
"f329",0.0481934177801229,13.8512323580437,4.4552104961931,0.000537354458765576,0.00391434929014579,-0.419836696269551
"f1204",0.0637915197375367,12.8519571146998,4.45149204700091,0.000541214302202563,0.00393761697112935,-0.427042577276485
"f4546",-0.110589508131268,11.159360050364,-4.44900092482863,0.000543816090498382,0.00395168571903923,-0.431870708998725
"f1299",0.038012282482347,15.2288928719867,4.44805764175466,0.00054480463278886,0.00395401153735719,-0.4336990558933
"f237",0.0517591984122205,14.5336768037813,4.44692373336574,0.000545995393155835,0.00395779748837839,-0.435896987313146
"f2005",-0.0580148241484508,11.6768910845806,-4.43966464632742,0.000553682118266568,0.00400860432013066,-0.449970327356265
"f1817",0.0612168915251985,12.2718715869199,4.43690852268713,0.000556629676217359,0.00402501776873555,-0.455314836327927
"f3359",-0.0872778823209686,11.3236937119234,-4.43211447300644,0.000561795209773997,0.00405740984836776,-0.464612677465809
"f1022",0.0533930854911961,13.1390042558165,4.42781667801631,0.000566467929236878,0.00408616805053187,-0.472949677899854
"f4563",0.132470359694098,11.503116424196,4.42709734671063,0.000567253907490398,0.00408685366967808,-0.474345209223341
"f3019",0.139911061709249,9.77059329517294,4.42588833697185,0.000568577460224539,0.00409139316069552,-0.476690832495676
"f4325",-0.139715479995401,8.81543713382226,-4.42525926809935,0.000569267383136503,0.00409139316069552,-0.4779113489664
"f1266",0.0631150015046273,14.561211904495,4.42264706080244,0.000572141506412242,0.00410472774279505,-0.482979890335844
"f2693",0.0653235616838472,13.5525500607135,4.4219427234312,0.000572919015408385,0.00410472774279505,-0.484346632686472
"f2078",0.0493635955507727,15.3889028009983,4.42168427630928,0.000573204584200966,0.00410472774279505,-0.484848150636517
"f1470",0.074681787964618,12.2220922500917,4.41882553744989,0.000576373099545216,0.00412242670351869,-0.4903959139111
"f874",0.0875416339066142,10.1932904949902,4.41754524165693,0.00057779796157872,0.00412762674243736,-0.49288071566902
"f4145",-0.0886103051627618,9.7973833123799,-4.41526012830125,0.000580350106527869,0.00414085751521393,-0.497316003727353
"f3895",0.0903909422175406,9.143961217895,4.40274627025926,0.000594533217155095,0.00423694455358119,-0.521612302186555
"f4194",0.129289135471589,8.15113405135511,4.40201433940239,0.000595373728254291,0.00423782864335034,-0.523033776298383
"f1670",0.0694360642670571,14.6099519606485,4.40135827286332,0.000596128158535181,0.00423809862708605,-0.52430795195007
"f323",-0.0479247634327145,15.7528892203977,-4.39948357445072,0.000598289348496258,0.00424442978753362,-0.527949077207452
"f936",0.0618563744203868,13.5732921590375,4.39934117639931,0.000598453836484031,0.00424442978753362,-0.528225660794285
"f355",0.199517620422776,15.0928664801932,4.39808268229919,0.000599909580091874,0.0042491358077635,-0.530670138795427
"f446",0.056681203198524,13.5403394865973,4.39713965954786,0.000601002791592608,0.0042491358077635,-0.53250193388732
"f1059",0.0521435928155984,12.1849590849677,4.39690729980967,0.000601272471867801,0.0042491358077635,-0.532953297084985
"f4043",0.0894174594148147,9.97956430654387,4.39558799098918,0.00060280604098008,0.00425488989546202,-0.535516161577211
"f6616",-0.14078168504941,8.89462265596483,-4.39149950778049,0.000607584083586987,0.00428065109741564,-0.543459257047323
"f829",0.0637445079366454,13.3061319586876,4.39122769656446,0.000607903114425889,0.00428065109741564,-0.543987378576322
"f782",-0.0667795449863728,13.5728743358106,-4.39027056303161,0.000609027894000725,0.00428328543240413,-0.545847108946984
"f1632",0.0520888624807867,11.3518433415434,4.38904609249259,0.000610469953981872,0.00428328543240413,-0.548226387111026
"f2536",-0.084503565074387,10.6411613890543,-4.38862909531288,0.000610961852300541,0.00428328543240413,-0.549036684798864
"f1241",-0.0937442997864579,13.8554510884223,-4.38842940908533,0.000611197550392155,0.00428328543240413,-0.549424714596379
"f696",-0.0873906304934327,13.8194626675785,-4.38783651502821,0.000611897918914875,0.00428328543240413,-0.550576843589191
"f5136",-0.105321832577422,8.90874278473988,-4.38233568976011,0.000618435327941915,0.00432393021841185,-0.561267537420029
"f3038",-0.0757408156927735,11.4791510931132,-4.38015858773042,0.000621042465707927,0.00433582225380752,-0.565499333208134
"f1610",0.0943213744093594,13.2157152093103,4.37969236706245,0.000621602243656597,0.00433582225380752,-0.566405609755697
"f2930",-0.1715466486931,11.5034720833779,-4.37751679885618,0.00062422124716992,0.00434896192816263,-0.57063487739016
