"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"f2534",0.671005329208059,6.12456009136269,0.900680564101707,0.382913459180372,0.439025607879802,-7.48794833348407
"f3962",-0.0401363715142082,9.54423085582756,-0.900534355986864,0.382988586242697,0.439026644888673,-7.48808149455234
"f5106",-0.0220811898261424,10.0016828420719,-0.90031286870812,0.383102413568009,0.43907203570137,-7.48828318047707
"f3047",0.0177140509822564,12.7037575273495,0.900032181528822,0.383246698089455,0.43915230902734,-7.48853871022619
"f5924",-0.0259387647281883,8.6953005056872,-0.896832571459479,0.384894035567478,0.440921827948785,-7.49144652666661
"f4820",0.0446392150500472,9.17825222728519,0.8967097754719,0.384957353357398,0.440921827948785,-7.49155794010962
"f2555",0.0183515499318272,11.0827849632495,0.896598803981568,0.385014580110816,0.440921827948785,-7.49165861342172
"f5217",0.0295534122049368,9.66901240155681,0.893642291035588,0.386541344870624,0.442546468077807,-7.49433666850845
"f3722",0.0177896949930219,10.6066477227633,0.893562014719752,0.386582857237198,0.442546468077807,-7.49440927397397
"f6847",-0.370139255428519,8.896931603128,-0.891623801409251,0.38758605927628,0.44360904423746,-7.49616051279501
"f2918",-0.0150394631654649,11.484710785281,-0.889303880566103,0.388789142634226,0.444899937837386,-7.49825217170436
"f6235",-0.0666547273664966,5.17768041237196,-0.887213860249738,0.389875159818589,0.446056396581616,-7.5001323811669
"f3191",0.011506905473297,10.4178497704187,0.885419174615348,0.390809346704957,0.447038732500449,-7.50174374751203
"f6048",0.0325935053922919,7.13827149298549,0.884932881059677,0.391062736417858,0.44724208931006,-7.50217986588041
"f2128",0.130332978524621,9.80589775394204,0.881453112130965,0.392879144860601,0.449200062291894,-7.50529434074956
"f4584",-0.0134690740222094,10.1577706405493,-0.88133521671555,0.392940784430099,0.449200062291894,-7.5053996675599
"f144",-0.00977212645020664,13.6356981313767,-0.88121701546955,0.393002590424438,0.449200062291894,-7.50550525493504
"f2952",-0.0260483855014506,9.16640096332986,-0.880436148926138,0.393411060228735,0.449580065929862,-7.50620247256973
"f883",-0.0221966209765974,14.2829197382297,-0.879914653042331,0.393684012558403,0.449805086784422,-7.50666779591019
"f6221",-0.0275496655942558,8.30132465685994,-0.878720433783794,0.394309549179453,0.450432789377456,-7.5077324505249
"f1519",0.0462772713078774,11.5153513588413,0.877331887992775,0.395037713233137,0.451177461628501,-7.50896871980461
"f6514",0.0494535571346821,6.63784017304259,0.877076425064049,0.395171778128082,0.451243449348958,-7.50919597628195
"f1400",0.0215646253105355,11.8137325859761,0.875833893256845,0.395824283902966,0.451901300769358,-7.51030047037807
"f6997",-0.0569861710336443,8.11548993993597,-0.875209058495603,0.396152683643903,0.45218894707713,-7.51085535937677
"f894",0.0136786323064069,14.1240632945171,0.866847467807556,0.400564909372826,0.457053122744494,-7.51824672799354
"f2043",0.0159132558755832,11.7011703830195,0.866840461436363,0.400568620170322,0.457053122744494,-7.5182528946754
"f1945",0.0259375906696402,11.5720330613031,0.866627545644949,0.40068139808862,0.457093629642081,-7.51844027188699
"f2885",-0.0218542159485242,10.7739515810414,-0.865099486513873,0.401491406205685,0.457929361300931,-7.51978383137075
"f319",0.0104041291353294,15.0855453622123,0.864220616988158,0.40195777934001,0.458372906264924,-7.52055561972163
"f3055",0.0214180845597109,12.9303109976707,0.863645934996145,0.402262929897431,0.458541351141441,-7.52105990127273
