"CD_vs_Ctrl_Difference"	"Abs_CD_vs_Ctrl_Difference"	"Paired_Ttest_uncorrected_P"	"Paired_Ttest_Corrected_P"	"Pass_Selection_0_No_1_Yes"
"hp3618"	1.27615458887076	1.27615458887076	0.0523449960883439	0.872377524814981	1
"hp3622"	1.25921164515262	1.25921164515262	0.0976481871898739	0.872377524814981	1
"hp3785"	1.29951522575717	1.29951522575717	0.0580044822445099	0.872377524814981	1
"hp3814"	1.26722721399223	1.26722721399223	0.00316755283366439	0.872377524814981	1
"hp3996"	1.28064374472681	1.28064374472681	0.0608698109710285	0.872377524814981	1
"hp4022"	1.27268090771165	1.27268090771165	0.0664846253078299	0.872377524814981	1
"hp4045"	1.27993785441096	1.27993785441096	0.0223367499167596	0.872377524814981	1
"hp4063"	1.27869569921926	1.27869569921926	0.0432896675161274	0.872377524814981	1
"hp4233"	1.27298021147958	1.27298021147958	0.0599506171160315	0.872377524814981	1
"hp4284"	1.27903065838998	1.27903065838998	0.00806098153498183	0.872377524814981	1
"hp4369"	1.29355675718258	1.29355675718258	0.0922473065857205	0.872377524814981	1
"hp4416"	1.28380667010845	1.28380667010845	0.0879573902304669	0.872377524814981	1
"hp4819"	1.25872496016565	1.25872496016565	0.0836434902293706	0.872377524814981	1
