"GFP1"	"GFP2"	"GFP3"	"GFP4"	"GFP5"	"R17_1"	"R17_2"	"R17_3"	"R17_4"	"R17_5"	"Fing1"	"Fing2"	"Fing3"	"Fing4"	"Fing5"
"f24"	14.8365302752049	14.8570665294446	14.8544865186481	14.8399003809714	14.8165164776252	14.9043937770211	14.9024389158631	14.9064193392832	14.9161130900367	14.8906099758954	14.9128282341636	14.9057580721428	14.9282409966044	14.9017850834757	14.9129382191046
"f25"	15.754706307863	15.7702893074579	15.767683605839	15.761267773175	15.7563519832721	15.7602628256949	15.7598803303353	15.7435959167196	15.7664847508692	15.7260458509539	15.7803528226826	15.7773728526465	15.7796138507152	15.760216921675	15.7517086573415
"f26"	14.3311685850103	14.3734439272451	14.3247550031258	14.3180950860648	14.312724995902	14.2892954329821	14.2662334665795	14.2667439028276	14.2904078413474	14.3127562309506	14.2055573658148	14.1601884076938	14.1767673833801	14.1640128340408	14.1625494273854
"f27"	15.7363208709294	15.7365959364849	15.7245550397075	15.7157308046494	15.6793228799681	15.6195385971812	15.6282159953755	15.6270175386176	15.6264259041974	15.63635624841	15.514654155163	15.4904190143809	15.5183158265969	15.500024474043	15.5213357545152
"f28"	17.1967927242948	17.1834079603523	17.2090780326474	17.2227265814297	17.1866256008234	17.3075061456576	17.3278431539454	17.2876960268412	17.3327807565858	17.2852522432981	17.4606998762103	17.4601679622476	17.4007265061863	17.4054840025824	17.3972988871708
"f29"	17.8490707620078	17.8368993010587	17.8428119251912	17.8445994470904	17.8519452150518	17.6960689929598	17.686139140846	17.660656728286	17.6788560400013	17.7103960308397	17.6119239098565	17.6010257654437	17.5956082056291	17.5923612029968	17.6086363043375
"f30"	15.5101108120598	15.5530214413381	15.5293673381387	15.5130803483912	15.49569683636	15.5257174460607	15.5120803856865	15.5241011677247	15.513103052673	15.5141391346275	15.5105303653325	15.4958929099812	15.5302365594591	15.5124370193862	15.5173379141684
"f31"	15.4459725942997	15.5022944818096	15.4819636080757	15.4790784469947	15.4524415718869	15.4856920329606	15.48400603367	15.4851170119532	15.4999819391219	15.4675327846296	15.4430445041818	15.4306793551729	15.466321742774	15.446441467872	15.4318227111261
"f32"	17.6477195995382	17.6331270450916	17.6253705029695	17.619101958265	17.6230245916443	17.4811667539626	17.4678199626886	17.4996481524327	17.4821647664323	17.4766794442166	17.439947426645	17.4692060570188	17.45626964878	17.466179122426	17.4446753443806
"f33"	16.4951606585122	16.5200426033092	16.5019795242753	16.4930452756617	16.4726769135262	16.4671584020406	16.4605938192065	16.4851474638863	16.4776478956478	16.4759077292207	16.4443698408701	16.4154653646848	16.4516385453632	16.44390481792	16.4451859430458
"f34"	15.7125709311411	15.718904098611	15.6987887903232	15.7020990287636	15.7024326863798	15.7491001436522	15.7388917019533	15.7519712755208	15.7455234396234	15.7779430747088	15.7539982977422	15.7501100962253	15.763893127548	15.7712577255581	15.7594078462275
"f35"	15.8380059595302	15.8728752375822	15.8707740396831	15.8540943133816	15.8266459967154	15.8499687224899	15.8489545712565	15.86596901531	15.854976423126	15.8624375345901	15.8916585451401	15.849855971315	15.8597917129362	15.8393188090433	15.8605636927477
"f36"	17.5255609786978	17.4918169381186	17.6010980133593	17.610152882446	17.521008348792	17.7718869310526	17.7597715034504	17.7815615209707	17.8150022706928	17.7335494822812	17.8887295467404	17.8665069335904	17.8439085661992	17.845373416923	17.8439328143199
"f37"	14.6693819203592	14.7150876178006	14.6927040688655	14.7078608336836	14.6538412398804	14.754296697349	14.7240798384155	14.7270506868483	14.7163537279806	14.6911113689154	14.533225507062	14.4653207059741	14.5719361565289	14.5323688765624	14.485433306347
"f38"	16.5671309834946	16.5927356227681	16.5745154086091	16.5696936746342	16.5516921172982	16.5466123421573	16.5353331163959	16.566771481806	16.554688042867	16.5642448696182	16.5517406976251	16.5188664457318	16.5482230830461	16.5351205467765	16.5267337184918
"f39"	16.5146517282187	16.5119646433641	16.5265350727209	16.5336586657514	16.5260544956142	16.5238000181238	16.5369212384856	16.5215238363923	16.5132457815619	16.5274733032144	16.5149395312821	16.5089395530994	16.5112849764679	16.5111162747177	16.5035543256403
"f40"	13.381175369438	13.4262363036834	13.4844925632184	13.4593818523752	13.4253321395852	13.5063833630494	13.497222261477	13.5102785170034	13.5363539460125	13.509827985908	13.5429287916962	13.5334742210048	13.5431605087844	13.5560796768949	13.5419520374811
"f41"	15.7458492557046	15.7548380331325	15.7238217028963	15.7316074808099	15.7064948610792	15.615930509446	15.5950998617139	15.6060081159485	15.6154715067869	15.6476323894873	15.6011297737832	15.5336379235893	15.5490213225237	15.5334250016537	15.5497818082676
"f42"	15.9542044329665	15.9716393505526	15.9467882782297	15.9408961528892	15.9286612681756	15.7358360025832	15.73065971765	15.7440941276284	15.739662997336	15.7707571694888	15.7019476005405	15.6852231945628	15.7246580475501	15.7019209687915	15.7013468074807
