"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"f7792",0.178327831474101,8.44268042311795,3.24185640765984,0.00531598511006617,0.0125240353328542,-3.55069523443398
"f8724",0.0888871579335113,10.9323213279178,3.24066361172179,0.00532913939916087,0.0125519990187564,-3.5531367268048
"f2479",-0.150985930186851,7.05526313096093,-3.23967239860586,0.00534009513577492,0.0125747721081034,-3.55516547833338
"f10933",0.138033373901465,7.21100803475173,3.23807996102015,0.00535774284947185,0.0126132885877928,-3.5584245337709
"f4388",0.177935104452555,7.38281681023753,3.23792128817552,0.00535950445539972,0.0126143961766454,-3.55874925439725
"f6282",-0.134926325316298,7.835053714431,-3.23531070200249,0.00538857001019985,0.0126797516858508,-3.56409133356
"f8789",0.0800117712158155,9.353780636847,3.23431225921588,0.00539972762325734,0.0127029469971645,-3.56613424607732
"f9898",-0.33355091067909,5.61204758842687,-3.23248474846826,0.0054202093786523,0.0127480610566762,-3.56987320435201
"f1466",-0.224978409553134,7.37494442358835,-3.23216886415735,0.00542375742966107,0.0127521784362123,-3.57051944079693
"f2576",0.157206645559715,9.00510119052394,3.2320965068783,0.00542457047910935,0.0127521784362123,-3.570667467705
"f1052",0.117225112993086,9.99146556618422,3.23184274129159,0.00542742289424419,0.0127558146925104,-3.57118661071176
"f10430",-0.209892885526604,7.90144940562641,-3.23032122038388,0.00544455650346847,0.0127930055408579,-3.57429911198118
"f9313",-0.148328153696853,7.66991543056182,-3.22965122296652,0.00545211821365473,0.0128052634756705,-3.57566960464341
"f1885",0.127690644555656,8.21327797334088,3.22958604170703,0.00545285441575147,0.0128052634756705,-3.57580293127856
"f3704",0.118391194822914,9.90728960821971,3.22951071276326,0.00545370535540072,0.0128052634756705,-3.57595701410921
"f10866",0.12172631549619,7.82126731962497,3.22865490790833,0.00546338203539918,0.0128249020869414,-3.57770748614764
"f5688",-0.101813901323807,12.5537202639479,-3.22849145979225,0.00546523209376959,0.0128254545263169,-3.5780417945361
"f1948",-0.162479386829165,8.88892282017076,-3.22840218507097,0.00546624285031562,0.0128254545263169,-3.57822439110519
"f11032",0.118620558881204,8.0984130989256,3.22702788118951,0.00548182591077977,0.0128589289671833,-3.58103517899171
"f10190",-0.115831366499794,8.21835311501369,-3.22667093473689,0.00548588047210802,0.0128653509871568,-3.58176518442867
"f8",0.139791201859438,8.65398842675426,3.22571973138287,0.00549669971188111,0.0128876304739809,-3.58371045285394
"f7459",-0.286992205711948,6.66285537321694,-3.21871002343722,0.00557708402597421,0.0130729632758561,-3.59804232596192
"f9415",0.12123533637307,10.5235167767814,3.21593713977634,0.00560920245764572,0.0131450966685533,-3.60371002903655
"f9455",0.104786292654891,10.7517830573747,3.21572226218606,0.0056116990226304,0.0131477936333571,-3.6041491936682
"f6342",-0.24333067593636,5.66762213651056,-3.21560644764623,0.00561304507511095,0.0131477943859588,-3.60438589187597
"f1745",0.212044333308041,8.4229642008476,3.21540797363584,0.00561535257884262,0.0131500466671362,-3.60479152311593
"f6406",-0.114656742357455,7.96431632057167,-3.2147552692247,0.00562294768957448,0.0131646774328164,-3.60612545328735
"f837",0.116558943005169,8.92029145124837,3.21277203676854,0.00564608774248898,0.0132156869295921,-3.61017825558116
"f3189",-0.180055282772282,5.72444298901574,-3.21148679663157,0.00566113402007624,0.0132477315871006,-3.61280442586138
"f4790",-0.147703427442219,7.53414028316227,-3.20850822731331,0.00569615674209478,0.0133264969756384,-3.61888983453647
"f8897",-0.106923781667557,7.93538432098508,-3.20733010373446,0.005710068482069,0.0133558460784808,-3.62129651014468
"f3254",0.138159564377753,8.33081746018851,3.20706333376518,0.00571322326951105,0.0133600266498619,-3.6218414447176
"f7339",-0.191316813752321,8.60064232352227,-3.20620836838286,0.00572334560314833,0.0133804945065229,-3.62358783361285
"f9521",0.275891148649413,5.42065978430023,3.20576428446573,0.00572861031817029,0.0133876736986318,-3.62449490213609
"f10161",0.151386669032415,7.32513180542355,3.20571819579856,0.00572915698403068,0.0133876736986318,-3.62458903963102
"f1759",-0.144037183900383,7.18624501337022,-3.20440089617798,0.00574480354233229,0.0134210259704894,-3.62727955067924
"f4469",0.17661747598037,6.63370577776029,3.20313520704515,0.00575987689744605,0.0134530234970232,-3.62986444376874
"f7607",0.0962794819039647,8.87360086086137,3.20242606326533,0.00576833933010197,0.0134695686556157,-3.63131262616815
"f4158",-0.131670380795578,7.69639204465224,-3.20228283626348,0.00577004999439954,0.0134700901740491,-3.63160511035195
"f4916",-0.163410369969641,8.18234162451375,-3.2021765218392,0.00577132010937252,0.0134700901740491,-3.63182221359644
"f7945",0.0948264100427973,11.1548127531752,3.20115795822524,0.00578350268802729,0.0134953000386975,-3.63390213587674
"f8311",0.132115016400926,8.51659181786972,3.20086042236631,0.00578706617730361,0.0135003907717899,-3.63450968373738
"f10191",0.125019117947275,10.4051797167408,3.20056937131561,0.00579055410115233,0.013505302833196,-3.63510397917926
"f7328",-0.118811573141724,7.77620987781578,-3.20023121397407,0.00579460915272341,0.0135099263677452,-3.6357944471556
"f653",-0.14541854747667,9.8392918860022,-3.20017345232543,0.00579530208876358,0.0135099263677452,-3.63591238656411
"f10009",0.203703543509093,7.47582964971906,3.19709520282546,0.00583234901697607,0.0135930462537825,-3.6421970304528
"f9328",-0.239929757748749,7.98789746413384,-3.19568491338157,0.00584940007139495,0.0136295346285544,-3.64507591401555
"f334",0.10223273683833,9.80131039963187,3.1950329428224,0.00585729935000579,0.0136418273685963,-3.64640672295889
"f3280",-0.154087392875132,7.61695260075893,-3.19501900356379,0.00585746835325092,0.0136418273685963,-3.6464351753199
"f10669",-0.121325163697096,10.203436919877,-3.19321617595358,0.00587936699643482,0.0136895651942727,-3.65011483789711
"f1902",0.120156380371345,11.4291426808237,3.1925513565316,0.0058874628582187,0.0137051494221579,-3.65147166248176
"f1360",0.0812464973027218,10.8299190833928,3.19180251185332,0.00589659514026459,0.0137231382849893,-3.65299990528259
"f6917",-0.116681352018706,10.9850815842325,-3.19160302939677,0.0058990302224218,0.0137239580317279,-3.65340699702702
"f3141",0.28825616849032,5.8911644602104,3.19154352547314,0.00589975677924844,0.0137239580317279,-3.65352842804402
"f9725",-0.108181847244847,8.17912943853348,-3.19080060637682,0.00590883544616563,0.013741804881942,-3.65504448150979
"f6942",-0.229074687753789,6.53454152326613,-3.18966132591495,0.00592278458952326,0.0137709675011048,-3.65736923942847
"f9591",-0.280081658560198,11.8228950477764,-3.18879855389606,0.00593336986994395,0.0137922968425773,-3.65912965634384
"f6336",-0.402866197980192,8.48980297945522,-3.18821139780547,0.00594058433264709,0.0138057823334829,-3.6603276458892
"f4669",0.144243696336758,9.35085310224704,3.18567368188269,0.00597186543199786,0.0138751784234528,-3.66550489671013
"f5313",-0.123498612668705,8.60539746112544,-3.18517766381391,0.00597799858162715,0.0138836462995041,-3.66651673616679
"f7968",-0.184111982488621,6.7376037365201,-3.18514908866209,0.00597835209641903,0.0138836462995041,-3.66657502634312
"f5419",-0.139244039525667,7.01743166975734,-3.18485247467489,0.00598202284896221,0.0138888695899146,-3.66718008005221
"f4475",-0.175722482242639,7.22527134819574,-3.18457587151026,0.00598544796439953,0.0138935202214738,-3.66774430394335
"f68",-0.15645675666665,7.70621925262707,-3.18422983075051,0.00598973563944456,0.0139001703556706,-3.66845015475439
"f3480",-0.19842097719764,6.52147422741703,-3.18257977153605,0.00601022275503295,0.0139431067953612,-3.67181571502078
"f4344",0.164995946760605,8.73820598953833,3.18250990922545,0.00601109169110145,0.0139431067953612,-3.67195820252753
"f7019",-0.177471945353035,6.62682152985825,-3.18164180878328,0.00602189934499931,0.0139648603372047,-3.67372868124639
"f7599",0.152074407410861,7.11863477018389,3.18072957725115,0.00603327711330287,0.0139867869757225,-3.67558905800266
"f7023",0.183493610988442,6.87995188622382,3.18065423881723,0.00603421771777587,0.0139867869757225,-3.67574269597981
"f5475",0.191143514131611,6.57110198143819,3.17737056426744,0.00607535567573526,0.014078800984804,-3.68243837971961
"f1579",0.126072380269406,10.3943917532301,3.17602994415281,0.00609223055166473,0.0141145583328822,-3.68517160506317
"f9968",0.156853894116306,10.0425245643148,3.168934916473,0.00618231225455496,0.0143198650372219,-3.69963280035589
"f9772",-0.0917303292965475,9.64627581617858,-3.16662956373878,0.0062118643055961,0.0143836777437005,-3.70433015484692
"f447",-0.167996688800192,8.96328674067933,-3.16655623698142,0.00621280655869152,0.0143836777437005,-3.70447955267979
"f1912",-0.194234293675544,6.50704302311119,-3.16615684889173,0.00621794119763767,0.0143921548213504,-3.70529326357808
"f8855",0.226946254880532,6.08315243186879,3.16600839441341,0.00621985083592809,0.0143931650087678,-3.70559571835588
"f3327",-0.145676479120356,10.1363577086368,-3.165712912249,0.0062236534829296,0.0143985542335359,-3.70619771217401
"f1273",0.209743632997016,5.76896685509321,3.16449178889035,0.00623939284427824,0.0144307791103603,-3.70868541477685
"f9493",0.227939772677013,6.5557051888559,3.1644031769575,0.00624053651394802,0.0144307791103603,-3.70886592934388
"f316",0.134606968369921,8.56836256459471,3.16389323148139,0.00624712214866655,0.0144425895391558,-3.70990473702313
"f4012",-0.120996864844473,6.6244997155558,-3.16375017946048,0.00624897081059578,0.0144434456634778,-3.71019614133905
"f2425",0.0713847534406504,10.8714097912252,3.16321457559188,0.00625589722100077,0.0144560349690581,-3.71128716930895
"f4146",-0.206730027816485,10.6230135998805,-3.16204355467457,0.00627106724039733,0.0144876630264086,-3.71367240969209
"f5952",0.222589695868512,9.48703453730375,3.16026992470664,0.00629411297107581,0.0145374666022247,-3.71728474329894
"f3696",0.284420322598278,6.70443107358614,3.15914441542143,0.00630878066878188,0.0145679005280073,-3.71957683404227
"f3323",0.0799159700867804,11.4335008934295,3.15861845435534,0.00631564658714122,0.01457863976742,-3.72064789031108
"f1601",-0.410733922429015,10.1613755920141,-3.15855956607243,0.00631641577640623,0.01457863976742,-3.72076780684345
