"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"f44",-0.0477451383260163,10.1541315125303,-1.66617697659377,0.11586877152718,0.258161436219053,-5.68312969665377
"f2816",-0.052230764947149,9.87748340464391,-1.66597184621244,0.115910147142477,0.258194741810761,-5.68343530497808
"f10506",-0.252432310868616,7.36080740505834,-1.66515576733352,0.116074879904989,0.258473443960327,-5.6846508616138
"f5415",-0.0557721586283009,9.22982931479293,-1.66503443047818,0.1160993900845,0.258473443960327,-5.6848315587152
"f9145",0.0946476114554704,7.22299772458823,1.66495899163038,0.116114631068769,0.258473443960327,-5.68494389905441
"f10177",0.125706107560873,9.10511976276365,1.66421673507075,0.116264682046482,0.258748506513469,-5.68604904816217
"f3524",-0.08621591327472,6.6756897620217,-1.66389160994889,0.116330460476145,0.2588359368827,-5.68653302092048
"f2501",0.0621983843207214,8.25030949142518,1.66308071002143,0.116494659571423,0.259142264119491,-5.68773981991458
"f9986",-0.0459780354279911,11.5508192397107,-1.6627835832201,0.116554874836379,0.259217192613573,-5.68818190846983
"f3631",0.0792403979730372,7.08901266090075,1.66217662969362,0.116677962619897,0.259431883203549,-5.6890848113789
"f10591",-0.09598501680843,7.38308244823362,-1.66200947085358,0.116711881473631,0.259448255289505,-5.68933343641915
"f8040",-0.0692152299181101,7.95119266073992,-1.66169526969318,0.116775660293659,0.259530982954743,-5.68980071911579
"f8325",0.0760060181873481,7.04019741993183,1.66128482871659,0.116859019878035,0.259657180852492,-5.69041103822307
"f1045",-0.0505491294546658,8.63195572529702,-1.66107039660251,0.116902590949861,0.259694932601215,-5.69072985373374
"f9532",0.0893588544294754,9.34607571276131,1.66065267869355,0.116987508498856,0.259824496029512,-5.69135083055612
"f8100",0.0945231209199386,6.86209690710434,1.66026055470139,0.117067271512071,0.259942555152939,-5.69193366103167
"f10951",-0.184412928398137,9.73820406835616,-1.65993897796357,0.117132719332791,0.260014301000236,-5.69241156286735
"f2499",-0.0566437662936341,8.18413239455325,-1.6598402942676,0.117152809928663,0.260014301000236,-5.69255820586612
"f8546",0.0587644922663255,8.92731729333141,1.65944829713297,0.117232644329972,0.260132394981564,-5.69314064999004
"f7207",0.0482298531732361,8.04514330620346,1.65900789172,0.117322393578519,0.260213670281178,-5.69379490705556
"f7262",0.0509233638190327,9.93711292896789,1.65900717255972,0.117322540183069,0.260213670281178,-5.69379597532644
"f7234",-0.0921857073233143,6.02700835495174,-1.65877536599456,0.117369803388749,0.260259414232427,-5.69414029377883
"f7732",-0.0697779055053873,6.87892933588477,-1.65854103873875,0.117417597232434,0.260266856180769,-5.69448832243666
"f10115",0.239039738705497,7.34415429647474,1.65840237820536,0.11744588661056,0.260266856180769,-5.69469424842513
"f5419",0.072505003241015,7.01743166975734,1.65836713575013,0.117453077676664,0.260266856180769,-5.69474658540264
"f842",0.0663560838688095,11.5614544646882,1.65812160047748,0.117503188597235,0.260292460090605,-5.69511119730337
"f6991",0.121891941605691,5.33930904352299,1.65804945472527,0.117517916219003,0.260292460090605,-5.695218324274
"f7087",-0.0766610671978452,9.74226488436177,-1.65764890971463,0.117599711260721,0.260414591799013,-5.69581302214737
"f1749",-0.0509790787032127,10.8076309492102,-1.65636742149204,0.117861733071559,0.260935674622508,-5.69771500491694
"f6830",0.107501226585662,6.79564586283533,1.65514960859131,0.118111201735792,0.261428736057699,-5.6995215333509
"f4896",-0.0636509163139216,11.4425865671757,-1.65444168354084,0.118256429120621,0.261634187832707,-5.70057125908542
"f10025",-0.109964553238887,7.81985446342733,-1.65443606804855,0.118257581726636,0.261634187832707,-5.70057958460343
"f7657",0.0704885006609288,8.54632487135705,1.65394058868792,0.118359319306812,0.261799988595778,-5.70131410394936
"f2102",-0.0822795698223091,7.66815286764481,-1.65373821259258,0.118400895211917,0.26183267229978,-5.70161407071347
"f10710",0.12605241515301,8.7508603819852,1.65191024122385,0.118777002088263,0.262604958226371,-5.70432237653902
"f9653",-0.15586393240735,5.48259070329934,-1.65096284907793,0.118972333614691,0.262977307560074,-5.70572520344669
"f10252",0.102801884166129,7.60640473715663,1.64902659440381,0.119372407734782,0.26380195059236,-5.70859051894602
"f3130",-0.257546477035444,11.6226476179242,-1.64869378090249,0.119441291106775,0.263882078710716,-5.70908278813149
