"GFP1"	"GFP2"	"GFP3"	"GFP4"	"GFP5"	"R17_1"	"R17_2"	"R17_3"	"R17_4"	"R17_5"	"Fing1"	"Fing2"	"Fing3"	"Fing4"	"Fing5"
"f17"	7.52220295716739	7.43086361482109	7.58202282423302	7.59669225957895	7.70196216980152	7.56141063066467	7.40310644810801	7.64619840424642	7.52282896970245	7.59298973913829	7.68336063341684	7.60373525764747	7.8385418154099	7.73873745372869	7.65538224064599
"f18"	10.4946081164653	10.3923296095005	10.5414231066371	10.5291498044496	10.5141921749661	10.3612837018002	10.4301909189639	10.4651165086837	10.3421393621953	10.5123469173036	10.3085176060835	10.3115301510261	10.3292318515208	10.3221554613645	10.367708415703
"f19"	6.95338317559029	6.90718182940978	7.02299706904075	7.11475477383858	7.04143416541142	7.31062763416259	7.21496230822582	7.40739181881907	7.32590705928665	7.16678377514723	7.58370237190256	7.58237105682494	7.58150889395264	7.45057442607078	7.52049832482482
"f20"	8.70741675449308	8.69743604273036	8.683383858298	8.63834144030012	8.6676938311389	8.589609231625	8.64775387233765	8.72462721766829	8.69261925615777	8.77608636849157	8.68747053448636	8.81424596409973	8.68116648820369	8.74714432887584	8.80534478136097
"f21"	9.91256574816164	9.90013556210787	9.98691604815067	9.93603622558289	9.96641742606314	9.982883497063	9.98558219496481	10.0054134867709	9.97314658958107	9.99983854921533	10.0188492908435	10.0343590392814	9.99295818909599	10.0018414026306	10.0220204005675
"f22"	9.80731967420723	9.64484264510473	9.69090744354706	9.71304632275653	9.64959467163272	9.71817861320411	9.68456368072244	9.6761869517415	9.67823533372054	10.0205990796384	10.1247532026459	9.8497431271593	9.67645432605335	9.7117871663336	9.87840928042939
"f23"	7.88867548189704	7.90004609785776	8.03644872559325	7.96928974091577	7.94792695084414	8.17718765592486	8.10063774917898	8.09183512448423	8.16223605127003	8.01390630598789	8.16627427430955	8.13150967797569	8.12827165126143	8.18110899355513	8.17061032381839
"f24"	10.2811350947474	10.3311694350221	10.2521567049283	10.3238288782788	10.3177611140638	10.0576114727814	10.0866598047958	10.1901178918422	9.93909981827455	10.3361357105015	10.2160232512567	10.1624639344012	10.1152982198317	10.236576190053	10.259374768835
"f25"	6.7165205124061	6.49124130848114	6.81069814017544	6.68023414016487	6.50533028620161	6.68216170655496	6.55292978596817	6.60654630790346	6.69029033043039	6.70409195478521	6.91123201519523	6.82715336195972	6.63306119314467	6.80873000989323	6.77880766175553
"f26"	7.92898623654999	7.98656892039376	8.02097535981047	7.9663878158187	7.95987729973177	7.68401749804279	7.71380408064645	7.57609976734632	7.60825420860906	7.79400044482904	7.64923849460108	7.5530893014742	7.65017567192166	7.50383164576732	7.56114359411721
