"GFP_REP1"	"GFP_REP2"	"GFP_REP3"	"GFP_REP4"	"GFP_REP5"	"R17_REP1"	"R17_REP2"	"R17_REP3"	"R17_REP4"	"R17_REP5"
"MP24"	8.24677827036963	8.2637246252415	8.19829637821369	8.14169453953629	8.22325257715441	8.09533354449651	8.12375864053465	8.05388306982685	7.99021678015601	7.96622567126464
"MP25"	9.74062227551096	9.76682728929402	9.74988000964701	9.76512004676379	9.77853312094194	9.85786064940559	9.75596914989535	9.87974968174326	9.86202527189339	9.83047711671259
"MP26"	12.6238247882702	12.6174096102281	12.6397488423994	12.6139150390385	12.6255334435277	12.6743123253671	12.6615476214109	12.679273703425	12.6756736206841	12.6719556582638
"MP27"	12.0171548757559	11.9851603611852	12.0182420003702	12.0443166665875	12.0534379412834	11.7576118155851	11.7215639753004	11.7571613119487	11.7467153359189	11.7369219255326
"MP28"	12.1568615808896	12.1877330199735	12.1857538999944	12.1901547394869	12.2084811058093	11.780571997244	11.793774767124	11.8091079621742	11.7989048267482	11.8019048651509
"MP29"	10.897121815388	10.9191353109021	10.9377633451393	10.9193717574492	10.9384571998642	10.7670062388289	10.7547244140533	10.724476896048	10.7600854602822	10.7553266537243
"MP30"	9.78000209878948	9.8035263887988	9.82644517542379	9.87450051981867	9.82687178357886	9.88408634348652	9.91189951206736	9.96708405435613	9.91769310287599	9.93198250949334
"MP31"	9.33727240631811	9.33153262647898	9.34432704165768	9.35115499311706	9.37354406619274	9.39745419802363	9.41429656499217	9.43055863343334	9.39836473081547	9.45046652826058
"MP32"	9.87037194730824	9.88681372543364	9.91075438320844	9.94615612299962	9.92081678391742	9.89475436889676	9.96624991246785	9.89418812075556	9.90189915252746	9.86284576969125
"MP33"	8.30238623088379	8.29897364047176	8.36182440552774	8.33380876192413	8.32113779373748	8.31374675780228	8.38386380579013	8.40697104850745	8.31627028683559	8.24750839512169
"MP34"	9.06047259191079	9.13531576497181	9.13447577719058	9.15558628219726	9.06054002746411	9.26610121666059	9.37697440420455	9.33297134425068	9.34269591578102	9.3827201883012
"MP35"	8.19849397271002	8.12193565327167	8.2454984789047	8.00002467629223	8.06165582024646	8.25254067455323	8.35378458648537	8.27205381169501	8.29258897854526	8.3443742747561
"MP36"	6.4195797021356	6.34421343148157	6.47426569142946	6.56532483837385	6.27286979272179	6.48171029166371	6.3256172639096	6.39817798110472	6.45617706593807	6.4373888547743
"MP37"	9.3890056874824	9.40380471386548	9.49361493582445	9.43478376440111	9.42777688201375	8.96653595911238	8.96819962976378	9.01641171919842	9.03453178344088	9.0816594657923
"MP38"	9.65696373504659	9.65948851833177	9.64664468778246	9.72755883386017	9.66823700667057	9.56975272556157	9.52889263225778	9.59633975368865	9.58008968141469	9.57586310910416
"MP39"	7.03434237786264	6.98586399979185	7.23427389481558	6.91138807507153	6.95523633548238	7.1791490997086	7.17326218925648	7.20912461062337	7.09937516493187	7.17100863424338
"MP40"	10.1307906798487	10.1157728265798	10.1463738652186	10.0739092204128	10.1051738999728	10.271993056931	10.2683239508188	10.2604036787227	10.2389478258871	10.2456932057436
"MP41"	6.05341751762345	5.99998993376021	5.97087654969339	5.84709322000087	5.94443407289411	6.13267178097395	6.02724687453072	6.09797140049983	6.08754794028153	5.98049578503079
"MP42"	7.30311387165005	7.38063481275901	7.1726776378416	7.2728440317038	7.23926657542463	7.1192475469324	6.92696899759045	7.03770580880325	7.11516341712123	7.17749739520475
"MP43"	5.7268953737952	5.91458509804483	5.49972797067729	5.48275510789265	5.48156758540935	5.49304839444444	5.69697780736792	5.5252552534391	5.49008230009069	5.80268325285018
"MP44"	9.97830403624136	9.97914726618979	9.92942097353097	9.94548120568194	9.9337192298381	10.0614426096303	10.1050585193454	10.1132249125054	10.1044592507593	10.0899589238337
"MP45"	11.8460797812189	11.8449103836971	11.8954997266183	11.8300209085992	11.8782907646182	11.1202119612158	11.0990912172894	11.0806466368562	11.12925671547	11.1067579545437
"MP46"	11.978583033224	12.012038352074	11.9878636145341	12.0016527577538	12.0025327700434	12.0919093515861	12.0581768801418	12.1009703881169	12.1128635992922	12.1279609794746
"MP47"	8.09365411678859	8.05901176591187	8.09162088155809	8.08105083660073	8.12229714446615	8.27635318543521	8.22495316355136	8.26392658503751	8.2851329440379	8.23957162195244
"MP48"	8.86055413153928	8.88540965641425	8.79516457341278	8.8503484211121	8.96084354299018	8.7102448489278	8.76102000728405	8.80558691319004	8.77002411135106	8.78980271516711
"MP49"	9.34091357716128	9.21096813086618	9.34750795031436	9.28229841829774	9.23793171548214	9.60345923818591	9.52181102418522	9.5069536503193	9.60188773760053	9.58106753994434
"MP50"	11.2110406068528	11.1945887186604	11.181276210198	11.1904781340942	11.2492201128541	11.4486420704407	11.445562458093	11.451188766833	11.4774876796594	11.513155000643
