index	CD_1	CD_2	CD_3	Ctrl_1	Ctrl_2	Ctrl_3
hp1827	125.3	226.1	251.9	221.2	207.2	253.7
hp1828	1928.2	3998.7	4520.4	4317.5	3324.5	4438.6
hp1829	567.5	1364.3	1787.3	1503.2	1288.1	1545.8
hp1830	2199	5834.4	8486.5	7544.6	5307.3	6705.4
hp1831	313.2	204.8	129.5	113.2	223.3	170.4
hp1832	1250.6	3009	3632	3537.2	2529.7	3197.1
hp1833	74.1	114.5	277.6	98.9	94.8	106.4
hp1834	397.3	417.5	524	331.4	605.3	755.6
hp1835	112.2	376.9	224.6	306.8	246.1	274.3
hp1836	6479.3	29939.1	28341.1	20996.3	25572.6	31291.6
hp1837	1234	2170.5	3828.4	1414.6	1748.4	1990.3
hp1838	13.9	24.1	31.1	26.8	24.8	26.6
hp1839	33.6	95.6	117.1	90	92.9	106
hp1840	128.3	300	332.4	302.9	259	318.9
hp1841	482.3	1408.1	1487.7	1227.4	1225.3	1516.2
hp1842	711.5	1600.4	1718.1	1384.6	1467	1813.8
hp1843	349.7	563.5	705.9	577.6	583.3	653.8
hp1844	2026.5	4894.5	5149.6	4386.4	4501.3	5054.8
hp1845	52.9	83.5	105.8	91.8	82.6	96.9
hp1846	1032.1	2387	2678.1	2142.6	2320.9	2581
hp1847	26.6	98.6	70.6	51.1	85	107.9
hp1848	2785.8	8693.4	13494.6	8546.3	9938.6	10869.3
hp1849	39.7	62.6	83.9	53.1	76.7	87.7
hp1850	132	150.1	187.2	118.1	152.6	156.6
hp1851	34.7	78.7	87.7	66.3	75.7	92.1
hp1852	327.9	529.1	645.4	642.7	482.5	570.4
hp1853	1828	4771.8	5298.7	4795.6	3942.4	5183.7
hp1854	1183.8	4726.1	5851.1	4450.6	3900.4	5721.3
hp1855	1549.3	5438.1	6355.5	5025.1	4706.7	6071.8
hp1856	13.8	29.3	33.7	25.5	28.9	34.3
hp1857	8387	21487	26214.4	22356.7	18809.3	24446.8
hp1858	858.9	2061.6	2335.2	2113.6	1787.7	2191.4
hp1859	554.9	2169.5	2004.4	1423.4	1909.7	2386.2
hp1860	100.8	181.5	263.7	192.7	211.9	218.5
