index	CD_1	CD_2	CD_3	Ctrl_1	Ctrl_2	Ctrl_3
hp1228	20	23.8	27	22.1	24.1	30.2
hp1229	2.8	8	10.7	7.8	7.5	8.9
hp1231	2.8	23.9	24.1	11.3	20.9	27.7
hp1233	4	6.4	8.2	5.3	7.1	8.7
hp1236	5	84.4	160.7	81	59.6	107.3
hp1237	2.4	76.1	62	26.6	57.3	63.9
hp1238	38.1	110.8	102.6	61.5	125.2	116.5
hp1239	4.3	12.1	13.8	6.2	14.2	19.8
hp1240	16.4	31.8	45.5	37.5	26.7	43
hp1241	3.4	25	22.5	10.5	27.2	24.2
hp1243	13.6	11.8	22	8.6	14.2	17.6
hp1244	10	35.6	23.8	7.2	23	20.6
hp1245	6	18.1	28	15.3	19.3	24.7
hp1247	4.8	10.7	16.1	5.2	9.7	8.1
hp1249	22	71.3	74.7	58.7	64	66.4
hp1250	4.5	24.8	33.6	21.7	23.9	23.4
hp1251	5.5	12.5	19.2	13.6	11.5	17.1
hp1252	5.3	10	15.8	10.9	10.9	12.8
hp1253	9.2	34.4	36.9	31.5	23.7	37
hp1254	199.5	422.2	533.1	316.9	522.1	491.1
hp1255	5.3	33.1	39.8	16.7	34.1	42.7
hp1256	3.4	10.6	11.3	2.6	7.7	8.2
hp1257	2.3	33.5	32.1	20.3	24.8	25.4
hp1258	7.5	24.9	27.4	11.4	20.5	9.6
hp1259	132.8	201.4	235.3	149.7	152.2	197.1
hp1261	2.1	34.3	27	19.3	25.3	20.9
hp1262	4.8	70.8	88.3	40.9	53.9	77.8
hp1263	47.4	147.4	140.2	88.4	145.5	156.4
hp1264	90.7	113.8	124.8	82.7	151.1	152.6
hp1265	41.5	81.8	211.5	122.1	100.6	140
hp1266	2.1	8.9	23.8	2.9	5.3	7.9
hp1267	35.4	110.6	112.9	75.4	96.9	124.7
hp1269	6.9	18.2	20.4	14.7	15.7	20.9
hp1270	5.9	13	16.8	8.2	17.6	17.6
hp1271	6.1	9	14.5	10.5	9.6	12.8
hp1272	4	18.2	20.1	14.9	14.3	17.6
hp1273	2.8	8.1	5.3	5.8	5.8	6.2
hp1274	158.3	354.4	380.5	201.3	409.7	501.3
hp1275	3.8	6	6.2	4.6	4.8	4.8
hp1276	14.7	66.3	79.1	44.6	63.4	72.8
hp1277	11	66	63.6	40.1	57.3	59.1
hp1278	2.8	7.7	14.9	9.2	7.3	11.5
hp1279	16.2	9.8	12.8	11.7	14.9	15.4
hp1280	3.3	7.9	7.3	4.4	7.9	10.4
hp1281	10.5	29.3	27.3	6.7	23.6	22.2
hp1283	10.7	17.1	17.9	7.6	18.3	14
hp1284	5.7	33.4	31.9	20.4	26	32.9
hp1285	40.5	164.2	143	129.5	113.5	144.4
hp1286	10.7	55.6	66.8	50.4	46.5	48.2
hp1287	2.8	13.6	15.8	7.4	13	17.6
hp1289	3.1	7	6.7	4.3	5.2	4.1
hp1290	5.9	17.9	17.7	10.7	15.9	22.7
hp1291	3.2	41.4	47	3.5	17.7	17.3
hp1292	42.1	50.9	98.4	31.9	58.1	64.9
hp1293	15.9	53.7	56	46.1	46.3	46.9
hp1294	9.3	33.2	43.6	28.7	31.7	34.8
hp1295	4.5	10.8	9.1	4.4	16.2	14.6
hp1296	7.5	9.6	15.4	13.2	8.4	16.2
hp1297	6.9	7.1	4.2	3.5	5.6	6.8
hp1298	75	356.9	258.1	202.4	273.3	294.5
hp1299	3.2	33.1	32.5	15.5	27.5	33
hp1300	11.4	27.6	26.3	25.9	18.2	30.5
hp1301	174.4	690	706.7	495.2	544.5	725.8
hp1302	141	42.4	71.5	66.1	52.2	66.3
hp1303	5.2	20.5	43.7	22.6	26	24
hp1304	3.6	28.4	57.4	2.9	19.2	18.9
hp1306	9.9	181.6	199.6	96.3	148.6	144.8
hp1307	64.3	86.1	81.3	83.9	67.9	100
hp1308	11.3	4.9	7.3	6.8	10	9.4
hp1309	3.4	5.2	7.8	3.1	5.1	5.5
hp1310	9.9	30.7	33.1	8.1	29	17.8
hp1311	14.5	41.2	47.7	41.4	31.6	42.7
hp1312	4.3	16.3	15.1	12.1	16.5	11.4
hp1313	19.1	43.6	46	67.8	26.3	40.8
hp1314	12.7	41.8	44.9	14	25.9	30
hp1315	7.8	20.6	21.9	17.7	16.7	21.8
hp1316	2.9	56.3	76.7	35.6	44.1	50.1
hp1317	3	18.8	21	13.4	17.1	15.7
hp1318	5.5	47.2	40.1	22.5	41.8	37.7
hp1319	6.4	20.4	24	17	18.8	20.3
hp1320	4.6	12.9	32	7.8	7.7	11.7
hp1321	11.2	19.3	18.6	6.8	17.7	18.2
hp1322	2.7	13.2	16.5	12	9.1	14.6
hp1323	12.3	15.2	14.9	8.1	16.5	14.2
hp1324	5.8	34.5	31.5	9.4	15	16
hp1325	3.1	4	13.6	9	5.2	8.3
hp1327	5.5	32.6	47.4	27.9	29.2	33
hp1328	7.4	24.9	49.4	24.5	30.2	32.4
hp1329	9.3	22.3	24.5	18.8	20	23.3
hp1330	4.4	25.7	18.8	5.4	12.5	11.5
hp1331	39.5	133.8	106.8	81.3	103.4	131.1
hp1332	5.2	21.9	28.5	15.5	20.5	26
hp1333	31.9	69.6	198.1	38.6	63	70.4
hp1335	2.7	13.9	12	2.5	5.3	11.2
hp1336	3.6	33.6	27.6	14.2	28.1	29.6
hp1337	2.9	22	43.1	13.5	27.6	30.9
hp1339	72.1	160	177.7	141.7	157.4	150.4
hp1340	12.9	27.6	26	18.5	25.8	30.8
hp1341	1.8	131.4	69.3	14.3	101.8	133.5
hp1342	174.3	235	225.9	184.6	224.3	288.4
hp1343	27.8	51.1	67.4	56.6	53.2	49.8
hp1345	2.2	318.6	623.6	50.6	394.3	518
hp1346	13.3	8.5	17.3	11.8	9.7	11.9
hp1347	4.9	19.6	15.5	10.4	15.3	20.3
hp1348	6.2	21.3	23.7	18.7	16	22
hp1349	5.2	137.5	180.9	64.5	112	127.5
hp1350	15.2	50.9	57.4	20.1	34.3	30.6
hp1351	3.8	12	14.3	4.4	6.9	9.9
hp1352	11.4	19.7	21.2	15.3	18.9	23.8
hp1353	21	25	34.1	26.9	18.8	26.4
hp1354	8.1	42.4	58.2	30.1	49.6	38.2
hp1355	7.4	13.2	17.8	11.1	13.8	18.4
hp1356	4.6	20.7	19.7	16.3	13.5	19.9
hp1357	6.6	30.4	35.7	20.8	28.4	30.6
hp1358	2.9	13.2	8.4	7.2	10.1	9.6
hp1359	3.2	2.8	4.7	2.8	3.1	3.7
hp1362	8.9	51.9	53.6	23.4	51.6	59.1
hp1363	143	269.8	246.8	203.5	271	244.4
hp1364	9.9	30.7	63.2	14.2	22.3	24
hp1365	2.4	24.1	22.3	11.6	18.5	21.6
hp1366	4.2	10.4	13.8	17.4	6.7	10.6
hp1367	8.8	31.2	38.5	23.3	30	32.9
hp1368	97.3	378.6	421.3	260	318.6	417.3
hp1369	2.6	10.9	20.6	13.6	9.4	12.8
hp1370	6.1	34.4	61.3	28.2	36.1	40.3
hp1371	6.4	17.9	24.9	12.2	19.8	24.3
hp1372	4.2	16	17.3	4.6	11.2	9.8
hp1373	3.5	23.5	36.7	22.4	20.8	21.4
hp1374	2.2	18.9	18.1	11	13.1	17.3
hp1375	14.6	23.5	29.3	19.5	25.4	29.5
hp1376	4.8	15	18.7	9.7	14.6	20.2
hp1377	19.1	83.3	102	112.7	55	65.1
hp1378	5.3	19.2	33.1	17.2	25.7	19
hp1379	16.8	1803.9	1028.8	155.7	1883.7	1457.7
hp1380	40.9	71.7	156.5	105	73.3	115.5
hp1381	10.7	49.1	63.1	34.5	40.6	60
hp1382	44.8	52.6	39.2	21	46.1	57.3
hp1383	3.2	10.8	15.7	7.2	14.6	11.8
hp1384	3	4.4	16.4	9.5	5.4	10
hp1385	14.5	27.4	22.7	15.5	19.3	21.6
hp1387	69.1	178.6	269.3	199.4	148.7	219.4
hp1388	8	21.7	23.4	8.7	14.6	17.1
hp1389	2.5	9.8	11.2	3.4	9.6	3.4
hp1390	4.3	5	6.9	5.2	7.5	5.1
hp1391	5.2	39.6	43.8	18	35.1	46.6
hp1392	12.2	20.8	38.4	5.4	28.4	24.6
hp1393	12.5	61.2	69.7	10.8	44.2	38
hp1395	12.6	56.5	63.5	37.1	51	56.4
hp1396	3.5	20.2	31.3	13.7	16.4	30.2
hp1397	2.8	34.9	29.4	12.8	25.8	33.7
hp1398	8.6	60.5	54.5	37.4	52.6	40.4
hp1399	7.8	28.2	25.8	16.9	21.8	31
hp1400	7.5	20.2	21.2	18.7	20.2	14.9
hp1401	2.1	32.9	32.2	14.7	20.3	33.4
hp1402	205.5	398.2	659.8	645.4	319.3	477.7
hp1403	3.1	13	13	4.4	8.7	6.2
hp1404	2.4	4.7	11.1	6.4	6	6.6
hp1405	2.1	9.1	15.6	8.4	8	11.9
hp1406	57.1	204.1	306	165	188.5	262.5
hp1408	19	54.8	62.7	40	50.4	60.2
hp1409	2.6	11.7	11.8	9	10.2	8.7
hp1410	7.7	25.4	42.7	11.6	19.1	16.5
hp1411	3.8	9.6	9.4	8.3	6.1	11.6
hp1412	11	22.1	19.1	8.7	18.8	17.5
hp1413	8.3	16.9	15.2	6.1	13.4	15.1
hp1414	5.4	34.2	37.2	21.6	28.4	30.6
hp1415	2	7.5	11	6.5	8.2	7.2
hp1416	4.6	26.8	30.5	14.4	28.9	24.5
hp1418	27.8	219.3	189.5	97.1	129	282
hp1419	2.8	20.1	51.9	28.3	15.7	26.1
hp1420	7.5	37.1	58.5	28.9	31.5	48.9
hp1421	3	9	11.3	5	8.6	15.5
hp1423	4.3	16	20.5	10.7	13.8	21.3
hp1424	20.4	83.7	103	76.1	58.9	88.6
hp1426	11.6	50.5	53.9	38.8	43.9	40.9
hp1427	4.9	17.1	21.8	9.7	19.9	20.9
hp1428	3.8	28.7	29.4	18.1	24.9	20.8
hp1429	13	36.2	34.6	19.3	41	37.6
hp1430	5.3	15.9	21.1	14.4	15.7	15.3
hp1431	8.5	30.9	39.8	21.1	33	32.2
hp1432	32.4	146.7	119.9	143.9	80.8	105.2
hp1433	11.1	19	25.4	19.7	16	25.7
hp1434	2.5	14.6	18.9	11.5	10.2	15.9
hp1435	31.4	51.7	62.3	25.5	42.2	59.3
hp1436	24.3	93.2	103.4	68.8	86.4	81.8
hp1437	4.8	14.5	14	4.8	10.1	10.7
hp1439	11.6	625.3	532.1	146.2	492.3	424.2
hp1440	11.3	7.9	10.7	6.2	10.1	11.1
hp1441	2.4	9	14.9	3.2	4.9	8.2
hp1442	5	9.7	24	6.1	11.3	8.2
hp1443	5.6	31.2	45.4	22.5	29	33.2
hp1444	28.8	60.7	76.8	54.4	53.1	74.5
hp1447	2.8	9.9	10.7	5.8	10.7	9.5
hp1448	29.1	80.3	108.8	58.9	82.7	98.8
hp1449	15.6	68.3	81.3	49.1	72.8	55
hp1450	8.6	15.1	9.7	5.3	14.1	10.3
hp1451	24.3	102.6	106.1	88.7	75	84.3
hp1452	12.8	47.4	64	35.2	41	58.6
hp1453	2.4	12.2	12.1	6.4	10	13
hp1454	9.7	9.9	24.5	8.7	12.9	12.9
hp1455	26.8	53.1	56	23.1	44.3	48.5
hp1456	3.6	69.2	100.5	51.3	41.4	59.6
hp1458	5.5	18.4	22.3	10.7	20.3	21.1
